,Step,Balance,Shares_held,Total_sold,Prime_cost,Total_sales,net_worth,Max_net_worth,Min_net_worth,Profit
25,417,20074967.682342604,862901,585338,8.515323650954054,10822175.275799999,37560707.2562426,37560707.2562426,17634300.0,19926407.256242603
26,418,19069228.460125204,912434,585338,9.615383226441157,10822175.275799999,37558699.792725205,37560707.2562426,17634300.0,19924399.792725205
27,419,20004987.255867302,866813,630959,9.615383226441157,11760749.7951,37838191.14876731,37838191.14876731,17634300.0,20203891.148767307
28,420,19002751.835967302,915433,630959,10.708019115687012,11760749.7951,37835497.2284673,37838191.14876731,17634300.0,20201197.2284673
29,421,19002751.835967302,915433,630959,10.708019115687012,11760749.7951,37260513.7611673,37838191.14876731,17634300.0,19626213.761167303
30,422,19905719.2907424,869662,676730,10.708019115687012,12666434.303399999,37113982.1833424,37838191.14876731,17634300.0,19479682.183342397
31,423,19905719.2907424,869662,676730,10.708019115687012,12666434.303399999,37113982.1833424,37838191.14876731,17634300.0,19479682.183342397
32,424,18908443.326756,919565,676730,11.790362825158338,12666434.303399999,37248615.512756005,37838191.14876731,17634300.0,19614315.512756005
33,425,19829892.8294484,873587,722708,11.790362825158338,13590656.472599998,37390214.5512484,37838191.14876731,17634300.0,19755914.5512484
34,426,20718946.268074896,829908,766387,11.790362825158338,14482385.097099999,37661933.0420749,37838191.14876731,17634300.0,20027633.042074896
35,427,21557046.70915089,788413,807882,11.790362825158338,15323007.4051,37529032.62835089,37838191.14876731,17634300.0,19894732.62835089
36,428,20477042.840806894,841618,807882,13.071048566195245,15323007.4051,37526876.932006896,37838191.14876731,17634300.0,19892576.932006896
37,429,20477042.840806894,841618,807882,13.071048566195245,15323007.4051,37262608.880006894,37838191.14876731,17634300.0,19628308.880006894
38,430,19451149.375258893,892953,807882,14.217632735798796,15323007.4051,37260561.18845889,37838191.14876731,17634300.0,19626261.18845889
39,431,18476658.348589294,941335,807882,15.250788769304403,15323007.4051,37398809.7175893,37838191.14876731,17634300.0,19764509.717589296
40,432,18476658.348589294,941335,807882,15.250788769304403,15323007.4051,37103136.3940893,37838191.14876731,17634300.0,19468836.394089296
41,433,19397806.289289895,894269,854948,15.250788769304403,16246927.104899999,36952575.03998989,37838191.14876731,17634300.0,19318275.03998989
42,434,20279901.585555196,849556,899661,15.250788769304403,17131676.6498,37090321.024355195,37838191.14876731,17634300.0,19456021.024355195
43,435,19263890.1023228,901210,899661,16.375924438238393,17131676.6498,36954912.7653228,37838191.14876731,17634300.0,19320612.765322797
44,436,20152830.993108798,856150,944721,16.375924438238393,18023292.3878,37093727.8881088,37838191.14876731,17634300.0,19459427.888108797
45,437,19143192.869553197,906277,944721,17.487751040700996,18023292.3878,37360629.357353196,37838191.14876731,17634300.0,19726329.357353196
46,438,18184138.703280196,953160,944721,18.491926505995384,18023292.3878,37643376.6832802,37838191.14876731,17634300.0,20009076.6832802
47,439,19146717.105998594,905502,992379,18.491926505995384,18988767.215,37490738.822798595,37838191.14876731,17634300.0,19856438.822798595
48,440,20054077.718343597,860227,1037654,18.491926505995384,19898858.1,37345844.736143604,37838191.14876731,17634300.0,19711544.736143604
49,441,20054077.718343597,860227,1037654,18.491926505995384,19898858.1,37210789.0971436,37838191.14876731,17634300.0,19576489.097143598
